Abigaíl
Adela
Adelia
Adelina
Adoración
Adriana
Agustina
Ainara
Ainoa
Alba
Alejandra
Alicia
Alma
Amada
Amanda
Amarilis
Amaya
Amelia
Amparo
América
Ana
Andrea
Angelina
Angelita
Angélica
Anita
Anselma
Antonia
Apolonia
Araceli
Arcelia
Armida
Aroa
Aránzazu
Ascensión
Asunción
Aura
Aurelia
Aurora
Azahar
Azahara
Beatriz
Belén
Benigna
Bernarda
Berta
Blanca
Brunilda
Calista
Camila
Caridad
Carmelita
Carmen
Carmina
Carolina
Catalina
Cayetana
Cecilia
Celestina
Chita
Chus
Cintia
Clarisa
Claudia
Clementina
Cloe
Concepción
Consuelo
Crescencia
Custodia
Cándida
Dalila
Delia
Dominga
Dora
Dorita
Dorotea
Dulce
Débora
Edelmira
Elba
Eli
Eliana
Eligia
Elisa
Elisabet
Elodia
Eloísa
Emelina
Emilia
Emiliana
Emma
Emperatriz
Encarna
Encarnacion
Encarnita
Esmeralda
Esperanza
Estefanía
Estela
Ester
Esther
Estrella
Eufemia
Eugenia
Eusebia
Eva
Evelia
Fabiola
Febe
Felicia
Feliciana
Felicidad
Felipa
Felisa
Flavia
Flor
Flora
Florencia
Florinda
Fortunata
Francisca
Gabriela
Gala
Gema
Georgina
Gertrudis
Gloria
Gracia
Graciana
Graciela
Guiomar
Herminia
Hortensia
Ignacia
Ileana
Inmaculada
Irene
Irma
Isa
Isabel
Isabela
Isaura
Isidora
Itziar
Jacinta
Javiera
Jennifer
Jenny
Jessica
Jesusa
Joaquina
Jordana
Juana
Juanita
Judith
Julia
Juliana
Lara
Leandra
Leire
Leticia
Leyre
Lidia
Ligia
Lilia
Lina
Loida
Lola
Lorena
Lorenza
Loreto
Lourdes
Lucila
Lucía
Luisa
Luisina
Lupe
Lupita
Maite
Malena
Manu
Manuela
Manuelita
Mar
Marcela
Marcia
Margarita
Mariana
Marianela
Maribel
Maricruz
Marina
Marisa
Marisol
Maristela
Marta
Martina
Martirio
María
Matilde
Maura
Maxi
Melania
Mercedes
Micaela
Miguela
Milagros
Miriam
Mirta
Modesta
Morena
Mónica
Natalia
Natividad
Nayara
Nazaret
Nerea
Nereida
Nicolasa
Nilda
Noa
Noelia
Nydia
Nélida
Obdulia
Odalys
Ofelia
Olalla
Olga
Olimpia
Oriana
Paca
Pacífica
Pascuala
Pastora
Patricia
Paula
Paulina
Paz
Pepita
Perla
Petrona
Priscila
Pía
Ramona
Raquel
Rebeca
Regina
Reina
Renata
Reyes
Reyna
Ricarda
Rita
Roberta
Rocío
Rosalinda
Rosalva
Rosalía
Rosenda
Roxana
Ruperta
Sabina
Salud
Samanta
Sandra
Sara
Saturnina
Serafina
Sofía
Sol
Soledad
Sonia
Soraya
Susana
Susanita
Tamara
Tania
Tatiana
Teresita
Teófila
Tomasa
Trini
Trinidad
Valentina
Valeria
Vanesa
Vera
Verónica
Viviana
Ximena
Xiomara
Yolanda
Yésica
Yéssica
Zaida
África
Ágata
Ángela
Ángeles
Úrsula
