Abel
Abilio
Adalberto
Adelardo
Adolfo
Agustín
Albano
Ale
Alex
Álvaro
Amado
Amando
Amílcar
Andrés
Aníbal
Apolinar
Ariel
Aristides
Arsenio
Atilio
Balduino
Baltasar
Benito
Bernardo
Bonifacio
Borja
Calisto
Cándido
Carlito
Cayetano
Cebrián
Celso
Cesar
Che
Chus
Ciriaco
Ciríaco
Conrado
Cornelio
Cosme
Custodio
Dani
Danilo
Darío
Dimas
Dionisio
Donato
Edmundo
Efraín
Elías
Eloy
Elpidio
Emiliano
Erasmo
Espiridión
Esteban
Eutropio
Faustino
Fausto
Florencio
Francisco
Gabino
Gil
Graciano
Gustavo
Heliodoro
Heraclio
Hermenegildo
Herminio
Hernán
Hernando
Humberto
Ibán
Ignacio
Ildefonso
Inocencio
Jafet
Jaime
Jeremías
Jesús
Jorge
Jose
José
Josué
Juan
Kike
Lázaro
Leocadio
Lucas
Luis
Luís
Macario
Marcelino
Marcial
Marciano
Marcos
Marino
Martin
Mateo
Maximiliano
Miguel
Modesto
Moisés
Natalio
Nazario
Nicodemo
Nilo
Omar
Paco
Pascual
Patricio
Paulino
Pelayo
Pepe
Pepito
Pío
Plácido
Poncio
Primitivo
Prudencio
Quique
Rafael
Ramiro
Raúl
Reinaldo
Roberto
Rómulo
Roque
Rosario
Rubén
Salomón
Samuel
Santiago
Sebastián
Segismundo
Seve
Severiano
Severo
Teo
Tiburcio
Timoteo
Tito
Tomás
Toni
Toño
Ulises
Venceslás
Vicente
Wálter
